"t___ i___ students [to accommodate students as guests in one's home]","Take in students","take in"
"I was sitting in the armchair and I d___ o___ [fall asleep]","I was sitting in the armchair and I dropped off","drop off"
"I will not p___ u___ [tolerate] with such bad behaviour.","I will not put up with such bad behaviour.","put up"
"You have to f___ u___ to the fact that you will probably never see each other again. [accept that a difficult or unpleasant situation exists]","You have to face up to the fact that you will probably never see each other again.","face up to"
"People l___ d___ o___ me because I didn't go to college. [despise]","People look down on me because I didn't go to college.","look down on"
"I don't know. It's a t___-u___. [(informal) both seem equally likely]","I don't know. It's a toss-up.","toss-up"
"The negotiation reached a s___-o___ when neither side would compromise. [a situation where no progress is made due to a deadlock]","The negotiation reached a stand-off when neither side would compromise.","stand-off"
"A passenger found a s___ a___ on the ship, hiding behind some crates. [a person who hides on a vehicle to travel without permission or paying]","A passenger found a stowaway on the ship, hiding behind some crates.","stowaway"
"During the party, the kids engaged in some harmless k___ [rough, boisterous play] in the backyard.","During the party, the kids engaged in some harmless knockabout in the backyard.","knockabout"
"I thought having a 45-piece orchestra at their wedding really was o___, personally.","I thought having a 45-piece orchestra at their wedding really was overkill, personally.","overkill"
"I f___ the idea of a desk job quite o___-p___ [find unappealing]","I find the idea of a desk job quite off-putting","off-putting"
"L___-i___ nanny wanted for 3-year-old. [residing with the employer]","Live-in nanny wanted for 3-year-old.","live-in"
"F___-u___ picnic chair for sale. As new.","Fold-up picnic chair for sale. As new.","fold-up"
"P___ o___ a document [study a document carefully]","Pore over a document","pore over"
"After hours of discussion, we h___ o___ [discovered] a good idea","After hours of discussion, we hit on a good idea","hit on"
"The traffic has e___ o___/u___ [become less busy] now","The traffic has eased off/up now","ease off/up"
"I've really g___ o___ Sienna/cheese recently [to no longer have the same level of affection]","I've really gone off Sienna/cheese recently","gone off"
"I'd advise you to k___ i___ [maintain a good relationship] with the boss","I'd advise you to keep in with the boss","keep in"
"I have to d___ o___ [leave quickly or suddenly]. I have a meeting in ten minutes.","I have to dash off. I have a meeting in ten minutes","dash off"
"I was always h___ a___ an easier life [to have a strong desire or craving for something or someone]","I was always hankering after an easier life","hanker after"
"I think we should p___ f___ a new marketing strategy to boost our sales. [suggest something for consideration]","I think we should put forward a new marketing strategy to boost our sales.","put forward"
"Not really. Sophie's g___ f___ me. [actively trying to outdo or undermine someone] I think she's after my job.","Not really. Sophie's gunning for me. I think she's after my job.","gunning for"
"I m___ u___ an important deal yesterday and she was so thrilled! [make a mistake or mess something up]","I mucked up an important deal yesterday and she was so thrilled!","muck up"
"Some new facts have emerged which b___ o___ the Smith case. [are connected to]","Some new facts have emerged which bear on the Smith case.","bear on"
"The castaways had to c___ o___ all their strength to survive. [use]","The castaways had to call on all their strength to survive.","call on"
"Meanwhile we hope you will g___ o___ [continue] making Miromana Hotels your first choice for all your business and leisure travel","Meanwhile we hope you will go on making Miromana Hotels your first choice for all your business and leisure travel","go on"
"I like her. Do you think I should a___ her o___? [invite her to go out with you]","I like her. Do you think I should ask her out?","ask out"
"She b___ u___ all the shares in the company last year. [purchased all available items]","She bought up all the shares in the company last year.","buy up"
"I think I'll c___ i___ on [visit] my grandfather on the way home from work.","I think I'll call in on my grandfather on the way home from work.","call in"
"Despite his family's poverty, Alfie n___ w___ for anything. [always has everything he needs]","Despite his family's poverty, Alfie never wants for anything.","never want"
"Jack will have to c___ o___ all his ingenuity to resolve the situation. [to use, formal]","Jack will have to call on all his ingenuity to resolve the situation.","call on"
